Preferred_Name	Name	Source
ER3413_150	ER3413_150	Ensembl Gene ID
ER3413_150	AIZ51264	Ensembl Protein ID
ER3413_152	ER3413_152	Ensembl Gene ID
ER3413_152	AIZ51280	Ensembl Protein ID
ER3413_152	fhuC	Gene Name
ER3413_152	b0151	RefSeq Protein ID
ER3413_153	ER3413_153	Ensembl Gene ID
ER3413_153	AIZ51291	Ensembl Protein ID
ER3413_153	fhuD	Gene Name
ER3413_153	b0152	RefSeq Protein ID
ER3413_154	ER3413_154	Ensembl Gene ID
ER3413_154	AIZ51301	Ensembl Protein ID
ER3413_154	fhuB	Gene Name
ER3413_154	b0153	RefSeq Protein ID
ER3413_155	ER3413_155	Ensembl Gene ID
ER3413_155	AIZ51308	Ensembl Protein ID
ER3413_155	hemL	Gene Name
ER3413_155	b0154	RefSeq Protein ID
ER3413_156	ER3413_156	Ensembl Gene ID
